"season","page_id","team_name","team_short_name","home_away_flag","first_name","family_name","first_name_initial","family_name_initial","scoreboard_name","playing_position","starter","minutes","points","s_points_from_turnovers","points_second_chance","points_fast_break","points_in_the_paint","field_goals_made","field_goals_attempted","field_goals_percentage","three_pointers_made","three_pointers_attempted","three_pointers_percentage","two_pointers_made","two_pointers_attempted","two_pointers_percentage","free_throws_made","free_throws_attempted","free_throws_percentage","rebounds_defensive","rebounds_offensive","rebounds_total","assists","turnovers","steals","blocks","blocks_received","fouls_personal","fouls_on"
"2014",64511,"Melbourne Boomers","Boomers","home","Rebecca","Cole","R",,"R. Cole","","1","33:00","10","2","0","0","4","4","9","44.4","0","0","0","4","9","44.4","2","4","50","1","0","1","3","4","4","0","0","1","4"
"2014",64511,"Melbourne Boomers","Boomers","home","Amelia","Todhunter","A",,"A. Todhunter","","0","18:00","3","3","0","0","0","1","4","25","1","2","50","0","2","0","0","0","0","0","0","0","1","0","2","0","0","2","2"
"2014",64511,"Melbourne Boomers","Boomers","home","Kelly","Bowen","K",,"K. Bowen","","0","10:00","2","0","0","0","2","1","4","25","0","1","0","1","3","33.3","0","0","0","0","0","0","0","0","1","0","0","0","0"
"2014",64511,"Melbourne Boomers","Boomers","home","Natalie","Burton","N",,"N. Burton","","1","36:00","14","2","0","0","6","6","7","85.7","0","0","0","6","7","85.7","2","3","66.7","3","2","5","2","3","1","1","0","4","2"
"2014",64511,"Melbourne Boomers","Boomers","home","Rebecca","Allen","R",,"R. Allen","","1","27:00","6","2","0","0","2","3","14","21.4","0","4","0","3","10","30","0","0","0","1","0","1","2","1","4","1","1","5","1"
"2014",64511,"Melbourne Boomers","Boomers","home","Tess","Madgen","T",,"T. Madgen","","1","36:00","19","10","0","2","8","7","14","50","1","1","100","6","13","46.2","4","4","100","7","1","8","7","2","1","1","1","0","7"
"2014",64511,"Melbourne Boomers","Boomers","home","Shanae","Greaves","S",,"S. Greaves","","0","08:00","0","0","0","0","0","0","3","0","0","0","0","0","3","0","0","0","0","1","0","1","0","0","0","0","0","3","0"
"2014",64511,"Melbourne Boomers","Boomers","home","Olivia","Thompson","O",,"O. Thompson","","1","29:00","8","0","0","0","6","4","8","50","0","0","0","4","8","50","0","0","0","2","0","2","1","0","0","1","0","1","0"
"2014",64511,"Melbourne Boomers","Boomers","home","Jess","May","J",,"J. May","","0","00:00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2014",64511,"Melbourne Boomers","Boomers","home","Lucy","Dawson","L",,"L. Dawson","","0","00:00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2014",64511,"UC Capitals","Capitals","away","Kristen","Veal","K",,"K. Veal","","1","32:00","11","3","0","0","2","4","7","57.1","3","6","50","1","1","100","0","0","0","6","1","7","6","6","2","0","0","1","0"
"2014",64511,"UC Capitals","Capitals","away","Alice","Coddington","A",,"A. Coddington","","0","13:00","5","2","0","0","2","2","3","66.7","1","1","100","1","2","50","0","0","0","1","1","2","0","3","0","0","0","3","0"
"2014",64511,"UC Capitals","Capitals","away","Stephanie","Talbot","S",,"S. Talbot","","1","29:00","12","0","2","0","8","5","9","55.6","0","1","0","5","8","62.5","2","4","50","11","2","13","0","4","1","1","1","4","6"
"2014",64511,"UC Capitals","Capitals","away","Carly","Wilson","C",,"C. Wilson","","1","32:00","10","5","2","0","4","4","9","44.4","2","3","66.7","2","6","33.3","0","0","0","1","1","2","3","2","1","0","0","0","0"
"2014",64511,"UC Capitals","Capitals","away","Abby","Bishop","A",,"A. Bishop","","1","38:00","15","0","4","0","12","6","14","42.9","0","0","0","6","14","42.9","3","3","100","8","5","13","4","5","0","0","0","4","7"
"2014",64511,"UC Capitals","Capitals","away","Jessica","Bibby","J",,"J. Bibby","","0","09:00","0","0","0","0","0","0","2","0","0","1","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","2","0"
"2014",64511,"UC Capitals","Capitals","away","Ellie","Junod","E",,"E. Junod","","0","00:00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2014",64511,"UC Capitals","Capitals","away","Abigail","Wehrung","A",,"A. Wehrung","","0","00:00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
