"season","page_id","team_name","team_short_name","home_away_flag","first_name","family_name","first_name_initial","family_name_initial","scoreboard_name","playing_position","starter","minutes","points","points_second_chance","points_fast_break","points_in_the_paint","field_goals_made","field_goals_attempted","field_goals_percentage","three_pointers_made","three_pointers_attempted","three_pointers_percentage","two_pointers_made","two_pointers_attempted","two_pointers_percentage","free_throws_made","free_throws_attempted","free_throws_percentage","rebounds_defensive","rebounds_offensive","rebounds_total","assists","turnovers","steals","blocks","blocks_received","fouls_personal","fouls_on"
"2015",137220,"SEQ Stars","Stars","home","Shyla","Heal","S",,"S. Heal","G","0","1:25","0","0",,,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0"
"2015",137220,"SEQ Stars","Stars","home","Biancia","Abbott","B",,"B. Abbott","F","0","1:25","0","0",,,"0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0"
"2015",137220,"SEQ Stars","Stars","home","Bree","Farley","B",,"B. Farley","G","0","12:46","0","0",,,"0","3","0","0","3","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","1"
"2015",137220,"SEQ Stars","Stars","home","Nadeen","Payne","N",,"N. Payne","F","0","13:35","7","0",,,"3","5","60","1","1","100","2","4","50","0","0","0","1","0","1","1","0","1","0","0","5","1"
"2015",137220,"SEQ Stars","Stars","home","Lauren","Mansfield","L",,"L. Mansfield","G","1","35:58","8","0",,,"4","11","36","0","2","0","4","9","44","0","0","0","4","1","5","8","1","1","0","0","2","1"
"2015",137220,"SEQ Stars","Stars","home","Denesha","Stallworth","D",,"D. Stallworth","C","1","33:48","24","0",,,"10","16","62","0","0","0","10","16","62","4","6","66","6","4","10","0","1","1","0","1","2","6"
"2015",137220,"SEQ Stars","Stars","home","Rachel","Jarry","R",,"R. Jarry","G","1","29:21","14","0",,,"5","12","41","1","2","50","4","10","40","3","3","100","3","2","5","0","2","0","0","1","2","4"
"2015",137220,"SEQ Stars","Stars","home","Amy","Lewis","A",,"A. Lewis","G","1","36:48","8","0",,,"3","11","27","0","2","0","3","9","33","2","2","100","4","0","4","5","1","1","1","1","1","1"
"2015",137220,"SEQ Stars","Stars","home","Ify","Ibekwe","I",,"I. Ibekwe","F","1","33:13","19","0",,,"7","14","50","2","2","100","5","12","41","3","6","50","6","3","9","1","3","3","0","2","3","6"
"2015",137220,"SEQ Stars","Stars","home","Emma","McKenzie","E",,"E. McKenzie","F","0","1:36","0","0",,,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"2015",137220,"Bendigo Spirit","Spirit","away","Joy","Burke","J",,"J. Burke","C","0","15:36","6","0",,,"2","4","50","0","0","0","2","4","50","2","2","100","4","0","4","1","3","0","0","0","5","2"
"2015",137220,"Bendigo Spirit","Spirit","away","Kerryn","Harrington","K",,"K. Harrington","G","0","23:28","2","0",,,"1","6","16","0","3","0","1","3","33","0","0","0","1","0","1","2","0","0","0","0","1","1"
"2015",137220,"Bendigo Spirit","Spirit","away","Heather","Oliver","H",,"H. Oliver","G","1","25:22","15","0",,,"7","11","63","0","1","0","7","10","70","1","1","100","1","3","4","1","2","0","2","0","2","1"
"2015",137220,"Bendigo Spirit","Spirit","away","Sarah","McAppion","S",,"S. McAppion","G","0","1:25","0","0",,,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2015",137220,"Bendigo Spirit","Spirit","away","Ashleigh","Spencer","A",,"A. Spencer","F","0","3:06","2","0",,,"1","2","50","0","0","0","1","2","50","0","0","0","0","0","0","0","0","0","0","0","1","0"
"2015",137220,"Bendigo Spirit","Spirit","away","Belinda","Snell","B",,"B. Snell","G","1","34:12","4","0",,,"1","9","11","0","4","0","1","5","20","2","2","100","4","0","4","1","4","1","1","1","1","2"
"2015",137220,"Bendigo Spirit","Spirit","away","Kelly","Wilson","K",,"K. Wilson","G","1","35:30","5","0",,,"2","12","16","0","2","0","2","10","20","1","1","100","3","1","4","3","2","0","0","0","3","1"
"2015",137220,"Bendigo Spirit","Spirit","away","Kelsey","Griffin","K",,"K. Griffin","F","1","37:48","17","0",,,"7","14","50","1","4","25","6","10","60","2","3","66","8","3","11","0","5","0","1","0","2","6"
"2015",137220,"Bendigo Spirit","Spirit","away","Gabrielle","Richards","G",,"G. Richards","C","1","23:28","12","0",,,"5","12","41","0","0","0","5","12","41","2","4","50","7","8","15","0","1","0","1","0","5","3"
"2015",137221,"Perth Lynx","Lynx","home","Louella","Tomlinson","L",,"L. Tomlinson","C","1","32:06","17","0",,,"8","15","53","0","0","0","8","15","53","1","2","50","9","4","13","3","3","1","3","2","2","2"
"2015",137221,"Perth Lynx","Lynx","home","Antonia","Edmondson","A",,"A. Edmondson","G","1","25:59","6","0",,,"2","4","50","1","2","50","1","2","50","1","3","33","1","1","2","4","1","0","0","0","2","4"
"2015",137221,"Perth Lynx","Lynx","home","Tessa","Lavey","T",,"T. Lavey","G","1","31:04","6","0",,,"0","5","0","0","0","0","0","5","0","6","6","100","3","0","3","4","0","0","0","0","4","3"
"2015",137221,"Perth Lynx","Lynx","home","Klara","Wischer","K",,"K. Wischer","G","0","4:51","0","0",,,"0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","1","0","0","0","1","0"
"2015",137221,"Perth Lynx","Lynx","home","Brianna","Moyes","B",,"B. Moyes","G","0","0","0","0",,,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2015",137221,"Perth Lynx","Lynx","home","Eliza","Chilcott","E",,"E. Chilcott","G","0","8:50","0","0",,,"0","2","0","0","0","0","0","2","0","0","0","0","0","2","2","0","0","0","0","0","0","0"
"2015",137221,"Perth Lynx","Lynx","home","Natalie","Burton","N",,"N. Burton","C","1","26:27","11","0",,,"5","9","55","0","0","0","5","9","55","1","2","50","2","3","5","1","0","1","1","0","3","1"
"2015",137221,"Perth Lynx","Lynx","home","Carley","Mijovic","C",,"C. Mijovic","F","0","16:33","12","0",,,"4","14","28","3","7","42","1","7","14","1","1","100","3","0","3","1","0","1","0","0","3","3"
"2015",137221,"Perth Lynx","Lynx","home","Jacinta","Bourne","J",,"J. Bourne","G","0","0","0","0",,,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2015",137221,"Perth Lynx","Lynx","home","Stacey","Barr","S",,"S. Barr","G","0","3:37","0","0",,,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2015",137221,"Perth Lynx","Lynx","home","Sami","Whitcomb","S",,"S. Whitcomb","G","1","28:28","18","0",,,"6","12","50","4","7","57","2","5","40","2","2","100","4","3","7","3","3","3","0","1","4","2"
"2015",137221,"Perth Lynx","Lynx","home","Betnijah","Laney","B",,"B. Laney","G","0","22:00","11","0",,,"5","14","35","0","0","0","5","14","35","1","2","50","2","2","4","2","0","0","0","0","5","4"
"2015",137221,"Sydney Uni Flames","Flames","away","Hayley","Moffatt","H",,"H. Moffatt","G","1","25:02","7","0",,,"2","6","33","0","1","0","2","5","40","3","4","75","2","1","3","1","0","0","0","2","2","2"
"2015",137221,"Sydney Uni Flames","Flames","away","Tahlia","Tupaea","T",,"T. Tupaea","G","1","36:53","11","0",,,"4","12","33","1","4","25","3","8","37","2","2","100","1","1","2","3","5","0","0","1","3","3"
"2015",137221,"Sydney Uni Flames","Flames","away","Nicole","How","N",,"N. How","G","0","0","0","0",,,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2015",137221,"Sydney Uni Flames","Flames","away","Alex","Wilson","A",,"A. Wilson","G","0","20:17","6","0",,,"2","5","40","0","2","0","2","3","66","2","2","100","4","1","5","0","2","1","0","0","1","1"
