"season","page_id","team_name","team_short_name","home_away_flag","first_name","family_name","first_name_initial","family_name_initial","scoreboard_name","playing_position","starter","minutes","points","points_second_chance","points_fast_break","points_in_the_paint","field_goals_made","field_goals_attempted","field_goals_percentage","three_pointers_made","three_pointers_attempted","three_pointers_percentage","two_pointers_made","two_pointers_attempted","two_pointers_percentage","free_throws_made","free_throws_attempted","free_throws_percentage","rebounds_defensive","rebounds_offensive","rebounds_total","assists","turnovers","steals","blocks","blocks_received","fouls_personal","fouls_on","plus_minus"
"2016",311810,"Sydney Uni Flames","Flames","home","Hayley","Moffatt","H","M","H. Moffatt","","1","23:19","4","0","0","2","2","5","40","0","0","0","2","5","40","0","0","0","1","2","3","3","1","1","1","0","0","1","6"
"2016",311810,"Sydney Uni Flames","Flames","home","Jennifer","Hamson","J","H","J. Hamson","","1","37:30","19","8","1","16","8","14","57","0","0","0","8","14","57","3","4","75","12","5","17","0","5","1","3","2","4","3","-7"
"2016",311810,"Sydney Uni Flames","Flames","home","Leilani","Mitchell","L","M","L. Mitchell","","1","40:00","15","0","2","4","5","13","38","3","7","42","2","6","33","2","2","100","6","0","6","9","4","3","0","0","2","3","-3"
"2016",311810,"Sydney Uni Flames","Flames","home","Alex","Wilson","A","W","A. Wilson","","0","23:03","11","3","2","2","4","9","44","3","6","50","1","3","33","0","0","0","1","2","3","2","2","1","0","0","3","0","-6"
"2016",311810,"Sydney Uni Flames","Flames","home","Cassidy","McLean","C","M","C. McLean","","0","00:00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2016",311810,"Sydney Uni Flames","Flames","home","Shanae","Greaves","S","G","S. Greaves","","0","01:28","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","1","0","1","1","0","-1"
"2016",311810,"Sydney Uni Flames","Flames","home","Carly","Boag","C","B","C. Boag","","0","11:17","9","2","2","6","4","9","44","1","2","50","3","7","42","0","0","0","1","1","2","1","2","0","1","1","0","0","-5"
"2016",311810,"Sydney Uni Flames","Flames","home","Belinda","Snell","B","S","B. Snell","","1","26:50","14","8","0","0","4","8","50","3","5","60","1","3","33","3","3","100","2","2","4","9","2","4","0","1","4","2","7"
"2016",311810,"Sydney Uni Flames","Flames","home","Lara","McSpadden","L","M","L. McSpadden","","0","00:00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2016",311810,"Sydney Uni Flames","Flames","home","Susannah","Walmsley","S","W","S. Walmsley","","0","00:00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2016",311810,"Sydney Uni Flames","Flames","home","Asia","Taylor","A","T","A. Taylor","","1","29:43","18","1","6","10","6","16","37","0","2","0","6","14","42","6","8","75","4","1","5","1","3","0","0","4","3","7","7"
"2016",311810,"Sydney Uni Flames","Flames","home","Sarah","Graham","S","G","S. Graham","","0","06:46","0","0","0","0","0","2","0","0","2","0","0","0","0","0","0","0","1","0","1","0","2","2","0","0","0","0","-13"
"2016",311810,"Perth Lynx","Lynx","away","Antonia","Edmondson","A","E","A. Edmondson","","1","29:36","4","0","0","2","2","5","40","0","1","0","2","4","50","0","1","0","3","1","4","5","2","1","0","0","3","3","9"
"2016",311810,"Perth Lynx","Lynx","away","Natalie","Burton","N","B","N. Burton","","1","17:31","3","0","0","2","1","5","20","0","0","0","1","5","20","1","1","100","2","2","4","0","3","0","0","1","4","1","-6"
"2016",311810,"Perth Lynx","Lynx","away","Carley","Mijovic","C","M","C. Mijovic","","1","37:58","30","3","0","8","11","18","61","7","10","70","4","8","50","1","1","100","7","2","9","2","1","1","3","0","3","2","9"
"2016",311810,"Perth Lynx","Lynx","away","Monica","Wright","M","W","M. Wright","","1","20:59","1","0","0","0","0","6","0","0","2","0","0","4","0","1","2","50","1","1","2","6","3","1","0","2","2","2","6"
"2016",311810,"Perth Lynx","Lynx","away","Ashleigh","Grant","A","G","A. Grant","","0","00:00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2016",311810,"Perth Lynx","Lynx","away","Courtney","Byrnes","C","B","C. Byrnes","","0","00:00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2016",311810,"Perth Lynx","Lynx","away","Sami","Whitcomb","S","W","S. Whitcomb","","1","40:00","22","5","4","6","7","19","36","4","9","44","3","10","30","4","6","66","5","3","8","5","4","3","1","1","2","5","3"
"2016",311810,"Perth Lynx","Lynx","away","Tenaya","Phillips","T","P","T. Phillips","","0","22:05","24","5","2","10","9","13","69","4","5","80","5","8","62","2","3","66","0","2","2","4","2","2","0","0","0","3","-1"
"2016",311810,"Perth Lynx","Lynx","away","Kisha","Lee","K","L","K. Lee","","0","03:38","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","-11"
"2016",311810,"Perth Lynx","Lynx","away","Ruth","Hamblin","R","H","R. Hamblin","","0","28:08","9","2","0","6","4","14","28","0","0","0","4","14","28","1","1","100","5","4","9","0","3","3","5","1","1","1","6"
"2016",311811,"UC Capitals","Capitals","home","Mikaela","Ruef","M","R","M. Ruef","","1","33:12","14","4","0","12","7","9","77","0","1","0","7","8","87","0","0","0","6","3","9","3","0","1","0","1","2","0","-3"
"2016",311811,"UC Capitals","Capitals","home","Janelle","Adams","J","A","J. Adams","","0","00:00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2016",311811,"UC Capitals","Capitals","home","Lauren","Mansfield","L","M","L. Mansfield","","1","37:39","17","2","0","8","7","19","36","2","5","40","5","14","35","1","2","50","3","0","3","6","4","1","0","0","2","1","0"
"2016",311811,"UC Capitals","Capitals","home","Alice","Coddington","A","C","A. Coddington","","0","04:55","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","-8"
"2016",311811,"UC Capitals","Capitals","home","Stephanie","Bairstow","S","B","S. Bairstow","","0","03:30","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","4"
"2016",311811,"UC Capitals","Capitals","home","Carly","Wilson","C","W","C. Wilson","","0","18:00","6","0","0","0","2","8","25","2","7","28","0","1","0","0","0","0","2","0","2","0","0","0","0","0","2","0","-11"
"2016",311811,"UC Capitals","Capitals","home","Kate","Gaze","K","G","K. Gaze","","0","00:00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2016",311811,"UC Capitals","Capitals","home","Marianna","Tolo","M","T","M. Tolo","","1","36:46","15","4","0","12","7","14","50","0","1","0","7","13","53","1","1","100","5","5","10","3","1","1","1","0","2","6","1"
"2016",311811,"UC Capitals","Capitals","home","Abigail","Wehrung","A","W","A. Wehrung","","1","27:40","7","0","0","4","3","10","30","1","7","14","2","3","66","0","0","0","2","0","2","0","1","0","0","0","1","0","-5"
"2016",311811,"UC Capitals","Capitals","home","Keely","Froling","K","F","K. Froling","","0","10:00","2","0","0","0","1","3","33","0","1","0","1","2","50","0","0","0","3","0","3","0","3","1","0","0","1","1","-2"
"2016",311811,"UC Capitals","Capitals","home","Jazmon","Gwathmey","J","G","J. Gwathmey","","1","28:12","8","2","0","4","4","11","36","0","1","0","4","10","40","0","0","0","5","5","10","1","1","0","0","1","5","1","14"
