"season","page_id","team_name","team_short_name","home_away_flag","team_name_opp","team_short_name_opp","first_name","family_name","scoreboard_name","playing_position","starter","minutes","points","points_second_chance","points_fast_break","points_in_the_paint","field_goals_made","field_goals_attempted","field_goals_percentage","three_pointers_made","three_pointers_attempted","three_pointers_percentage","two_pointers_made","two_pointers_attempted","two_pointers_percentage","free_throws_made","free_throws_attempted","free_throws_percentage","rebounds_defensive","rebounds_offensive","rebounds_total","assists","turnovers","steals","blocks","blocks_received","fouls_personal","fouls_on","plus_minus"
"2017",681904,"Dandenong Rangers","Rangers","home","Melbourne Boomers","Boomers","Kayla","Pedersen","K. Pedersen","","1","29:54","10","5","0","2","3","11","27","0","0","0","3","11","27","4","6","66","7","4","11","1","1","1","0","1","4","5","0"
"2017",681904,"Dandenong Rangers","Rangers","home","Melbourne Boomers","Boomers","Tessa","Lavey","T. Lavey","","1","27:09","7","0","0","0","3","6","50","1","2","50","2","4","50","0","0","0","1","0","1","1","1","0","0","1","0","1","-6"
"2017",681904,"Dandenong Rangers","Rangers","home","Melbourne Boomers","Boomers","Rachel","Antoniadou","R. Antoniadou","",,"04:54","0","0","0","0","0","2","0","0","0","0","0","2","0","0","0","0","0","0","0","0","2","0","0","0","1","0","-4"
"2017",681904,"Dandenong Rangers","Rangers","home","Melbourne Boomers","Boomers","Rebecca","Pizzey","R. Pizzey","",,"00:00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2017",681904,"Dandenong Rangers","Rangers","home","Melbourne Boomers","Boomers","Stephanie","Blicavs","S. Blicavs","","1","38:44","16","0","0","4","3","10","30","1","4","25","2","6","33","9","9","100","6","0","6","6","2","0","3","0","0","3","-15"
"2017",681904,"Dandenong Rangers","Rangers","home","Melbourne Boomers","Boomers","Laia","Palau","L. Palau","",,"00:00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2017",681904,"Dandenong Rangers","Rangers","home","Melbourne Boomers","Boomers","Kiera","Rowe","K. Rowe","",,"05:01","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","2","0","0","0","0","0","2","0","-9"
"2017",681904,"Dandenong Rangers","Rangers","home","Melbourne Boomers","Boomers","carley","Mijovic","c. Mijovic","","1","25:11","7","2","0","4","3","10","30","1","3","33","2","7","28","0","0","0","7","2","9","0","2","1","1","0","3","1","-11"
"2017",681904,"Dandenong Rangers","Rangers","home","Melbourne Boomers","Boomers","Amelia","Todhunter","A. Todhunter","",,"21:39","2","0","0","0","1","5","20","0","2","0","1","3","33","0","0","0","3","0","3","1","4","1","0","0","1","0","-4"
"2017",681904,"Dandenong Rangers","Rangers","home","Melbourne Boomers","Boomers","Sara","Blicavs","S. Blicavs","","1","38:02","17","0","2","6","6","16","37","1","3","33","5","13","38","4","4","100","3","1","4","1","4","1","0","0","3","4","-16"
"2017",681904,"Dandenong Rangers","Rangers","home","Melbourne Boomers","Boomers","Tayla","Roberts","T. Roberts","",,"09:22","2","0","0","0","0","0","0","0","0","0","0","0","0","2","2","100","1","0","1","0","0","0","0","0","1","1","-10"
"2017",681904,"Dandenong Rangers","Rangers","home","Melbourne Boomers","Boomers","Madeline","Puli","M. Puli","",,"00:00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2017",681904,"Melbourne Boomers","Boomers","away","Dandenong Rangers","Rangers","Brittany","Smart","B. Smart","",,"14:33","5","0","0","0","1","5","20","1","3","33","0","2","0","2","2","100","1","1","2","4","0","2","0","0","2","1","10"
"2017",681904,"Melbourne Boomers","Boomers","away","Dandenong Rangers","Rangers","Rebecca","Cole","R. Cole","","1","23:00","10","2","0","2","4","11","36","2","6","33","2","5","40","0","0","0","3","2","5","2","2","2","0","2","0","0","10"
"2017",681904,"Melbourne Boomers","Boomers","away","Dandenong Rangers","Rangers","Kasey","Burton","K. Burton","",,"00:00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2017",681904,"Melbourne Boomers","Boomers","away","Dandenong Rangers","Rangers","Rebecca","Ott","R. Ott","",,"00:00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2017",681904,"Melbourne Boomers","Boomers","away","Dandenong Rangers","Rangers","Elizabeth","Cambage","E. Cambage","","1","22:46","17","0","0","8","7","15","46","1","2","50","6","13","46","2","2","100","5","1","6","2","3","0","0","1","5","5","9"
