"season","page_id","action_number","previous_action","team_number","team_name","team_short_name","home_away_flag","team_name_opp","team_short_name_opp","period_type","period","action_type","sub_type","shot_result","points_scored","x","y","scoreboard_name","shirt_number"
"2020",1777473,8,"",1,"Adelaide Lightning","Lightning","home","UC Capitals","UC Capitals","REGULAR","1","3pt","jumpshot","0",0,"9.6700000762939","3.9500000476837","A. Wehrung","13"
"2020",1777473,17,"",1,"Adelaide Lightning","Lightning","home","UC Capitals","UC Capitals","REGULAR","1","2pt","layup","1",2,"7.6399998664856","50.849998474121","A. Wilson","4"
"2020",1777473,25,"",1,"Adelaide Lightning","Lightning","home","UC Capitals","UC Capitals","REGULAR","1","3pt","jumpshot","0",0,"31.360000610352","58.470001220703","C. Brook","8"
"2020",1777473,27,"",2,"UC Capitals","UC Capitals","away","Adelaide Lightning","Lightning","REGULAR","1","3pt","jumpshot","0",0,"71.139999389648","26.549999237061","M. Rocci","9"
"2020",1777473,34,"",2,"UC Capitals","UC Capitals","away","Adelaide Lightning","Lightning","REGULAR","1","3pt","jumpshot","0",0,"72.540000915527","23.450000762939","J. Melbourne","5"
"2020",1777473,36,"",1,"Adelaide Lightning","Lightning","home","UC Capitals","UC Capitals","REGULAR","1","2pt","drivinglayup","1",2,"4.9899997711182","54.240001678467","C. Brook","8"
"2020",1777473,37,"",2,"UC Capitals","UC Capitals","away","Adelaide Lightning","Lightning","REGULAR","1","2pt","layup","0",0,"93.76000213623","55.369998931885","M. Ruef","3"
"2020",1777473,39,"",2,"UC Capitals","UC Capitals","away","Adelaide Lightning","Lightning","REGULAR","1","3pt","jumpshot","0",0,"80.660003662109","9.8900003433228","M. Ruef","3"
"2020",1777473,51,"",1,"Adelaide Lightning","Lightning","home","UC Capitals","UC Capitals","REGULAR","1","3pt","jumpshot","0",0,"24.959999084473","83.330001831055","S. Talbot","7"
"2020",1777473,53,"",2,"UC Capitals","UC Capitals","away","Adelaide Lightning","Lightning","REGULAR","1","2pt","drivinglayup","1",2,"95.480003356934","45.200000762939","M. Rocci","9"
"2020",1777473,54,"",1,"Adelaide Lightning","Lightning","home","UC Capitals","UC Capitals","REGULAR","1","2pt","jumpshot","1",2,"5.460000038147","55.650001525879","C. Brook","8"
"2020",1777473,66,"",1,"Adelaide Lightning","Lightning","home","UC Capitals","UC Capitals","REGULAR","1","3pt","jumpshot","0",0,"7.960000038147","3.6700000762939","A. Wehrung","13"
"2020",1777473,75,"",2,"UC Capitals","UC Capitals","away","Adelaide Lightning","Lightning","REGULAR","1","2pt","layup","1",2,"92.819999694824","45.479999542236","K. Froling","21"
"2020",1777473,77,"",1,"Adelaide Lightning","Lightning","home","UC Capitals","UC Capitals","REGULAR","1","3pt","jumpshot","0",0,"15.289999961853","5.6500000953674","M. Whittle","21"
"2020",1777473,79,"",2,"UC Capitals","UC Capitals","away","Adelaide Lightning","Lightning","REGULAR","1","2pt","jumpshot","1",2,"94.069999694824","55.650001525879","M. Tolo","12"
"2020",1777473,89,"",1,"Adelaide Lightning","Lightning","home","UC Capitals","UC Capitals","REGULAR","1","2pt","jumpshot","0",0,"9.5200004577637","30.790000915527","C. Smith","6"
"2020",1777473,91,"",2,"UC Capitals","UC Capitals","away","Adelaide Lightning","Lightning","REGULAR","1","3pt","jumpshot","0",0,"72.230003356934","77.120002746582","M. Rocci","9"
"2020",1777473,101,"",1,"Adelaide Lightning","Lightning","home","UC Capitals","UC Capitals","REGULAR","1","3pt","jumpshot","1",3,"4.9899997711182","95.76000213623","A. Wehrung","13"
"2020",1777473,111,"",1,"Adelaide Lightning","Lightning","home","UC Capitals","UC Capitals","REGULAR","1","2pt","layup","0",0,"7.4899997711182","47.180000305176","L. Tomlinson","2"
"2020",1777473,113,"",2,"UC Capitals","UC Capitals","away","Adelaide Lightning","Lightning","REGULAR","1","2pt","layup","1",2,"94.230003356934","55.080001831055","K. Froling","21"
