"season","page_id","team_name","team_short_name","home_away_flag","team_name_opp","team_short_name_opp","points_total","points_total_opp","points_margin","team_result","minutes","field_goals_made","field_goals_attempted","field_goals_percentage","three_pointers_made","three_pointers_attempted","three_pointers_percentage","free_throws_made","free_throws_attempted","free_throws_percentage","rebounds_defensive","rebounds_offensive","rebounds_total","assists","turnovers","steals","blocks","blocks_received","fouls_personal","fouls_on","points","points_from_turnovers","points_second_chance","points_fast_break","bench_points","points_in_the_paint"
"2014",64511,"Melbourne Boomers","Boomers","home","UC Capitals","Capitals",62,69,-7,"L","197:00","26","63","41.3","2","8","25","8","11","72.7","15","3","18","16","11","13","4","2","16","16","62","19","0","2","5","28"
"2014",64511,"UC Capitals","Capitals","away","Melbourne Boomers","Boomers",69,62,7,"W","197:00","26","57","45.6","7","15","46.7","10","13","76.9","34","12","46","14","23","5","2","4","16","16","69","12","8","0","9","36"
"2014",64512,"Dandenong Rangers","Rangers","home","Melbourne Boomers","Boomers",73,51,22,"W","195:00","33","75","44","3","16","18.8","4","6","66.7","30","13","43","13","11","4","3","0","15","9","73","17","17","0","8","34"
"2014",64512,"Melbourne Boomers","Boomers","away","Dandenong Rangers","Rangers",51,73,-22,"L","193:00","21","73","28.8","2","16","12.5","7","8","87.5","28","16","44","11","14","7","0","3","9","15","51","8","12","0","17","20"
"2014",64513,"UC Capitals","Capitals","home","Sydney Uni Flames","Flames",70,73,-3,"L","195:00","30","66","45.5","5","19","26.3","5","8","62.5","28","10","38","14","20","3","5","6","19","14","70","6","11","4","30","32"
"2014",64513,"Sydney Uni Flames","Flames","away","UC Capitals","Capitals",73,70,3,"W","196:00","26","67","38.8","5","14","35.7","16","21","76.2","21","10","31","9","10","5","6","5","15","19","73","6","4","2","14","26"
"2014",64514,"West Coast Waves","Waves","home","Adelaide Lightning","Lightning",92,68,24,"W","195:00","27","62","43.5","13","25","52","25","36","69.4","29","6","35","25","15","9","3","6","22","24","92","16","5","0","32","20"
"2014",64514,"Adelaide Lightning","Lightning","away","West Coast Waves","Waves",68,92,-24,"L","197:00","24","68","35.3","2","22","9.1","18","20","90","25","6","31","13","18","4","6","3","24","21","68","11","4","0","22","30"
"2014",64515,"Townsville Fire","Fire","home","Bendigo Spirit","Spirit",70,67,3,"W","195:00","26","67","38.8","4","16","25","14","20","70","26","8","34","16","14","1","8","2","15","19","70","11","8","0","29","32"
"2014",64515,"Bendigo Spirit","Spirit","away","Townsville Fire","Fire",67,70,-3,"L","195:00","26","66","39.4","6","17","35.3","9","11","81.8","26","9","35","12","14","2","2","8","19","15","67","15","2","0","14","30"
