"season","page_id","team_name","team_short_name","home_away_flag","team_name_opp","team_short_name_opp","points_total","points_total_opp","points_margin","team_result","minutes","field_goals_made","field_goals_attempted","field_goals_percentage","three_pointers_made","three_pointers_attempted","three_pointers_percentage","two_pointers_made","two_pointers_attempted","two_pointers_percentage","free_throws_made","free_throws_attempted","free_throws_percentage","rebounds_defensive","rebounds_offensive","rebounds_total","assists","turnovers","steals","blocks","blocks_received","fouls_personal","fouls_on","points","points_from_turnovers","points_second_chance","points_fast_break","bench_points","points_in_the_paint"
"2015",137220,"SEQ Stars","Stars","home","Bendigo Spirit","Spirit",80,63,17,"W","199:55","32","72","44","4","12","33","28","60","46","12","17","70","26","10","36","15","9","8","1","5","16","20","80","14","8","0","0","44"
"2015",137220,"Bendigo Spirit","Spirit","away","SEQ Stars","Stars",63,80,-17,"L","199:55","26","70","37","1","14","7","25","56","44","10","13","76","28","15","43","8","17","1","5","1","20","16","63","6","4","0","0","40"
"2015",137221,"Perth Lynx","Lynx","home","Sydney Uni Flames","Flames",81,70,11,"W","199:55","30","75","40","8","16","50","22","59","37","13","18","72","25","15","40","18","8","6","4","3","24","19","81","13","15","2","0","34"
"2015",137221,"Sydney Uni Flames","Flames","away","Perth Lynx","Lynx",70,81,-11,"L","199:58","23","58","39","6","20","30","17","38","44","18","25","72","24","10","34","9","15","2","3","4","19","24","70","6","0","0","0","18"
"2015",137222,"Townsville Fire","Fire","home","Bendigo Spirit","Spirit",64,72,-8,"L","199:55","25","58","43","5","13","38","20","45","44","9","14","64","20","5","25","12","17","6","4","1","19","13","64","13","7","0","0","32"
"2015",137222,"Bendigo Spirit","Spirit","away","Townsville Fire","Fire",72,64,8,"W","199:55","25","56","44","5","14","35","20","42","47","17","20","85","25","5","30","16","16","9","1","4","13","19","72","15","3","0","0","38"
"2015",137223,"UC Capitals","Capitals","home","Dandenong Rangers","Rangers",72,80,-8,"L","199:57","28","66","42","6","19","31","22","47","46","10","13","76","22","9","31","17","13","6","3","2","22","16","72","7","6","8","0","30"
"2015",137223,"Dandenong Rangers","Rangers","away","UC Capitals","Capitals",80,72,8,"W","199:56","27","65","41","3","11","27","24","54","44","23","27","85","28","13","41","14","12","8","2","3","16","22","80","12","14","19","0","24"
"2015",137224,"Melbourne Boomers","Boomers","home","Adelaide Lightning","Lightning",94,72,22,"W","199:57","39","81","48","5","23","21","34","58","58","11","15","73","34","14","48","18","13","3","2","0","15","15","94","18","15","0","0","54"
"2015",137224,"Adelaide Lightning","Lightning","away","Melbourne Boomers","Boomers",72,94,-22,"L","199:56","27","73","36","3","10","30","24","63","38","15","19","78","18","11","29","12","13","4","0","2","15","15","72","10","6","2","0","36"
"2015",137225,"Sydney Uni Flames","Flames","home","UC Capitals","Capitals",85,67,18,"W","199:55","29","57","50","7","16","43","22","41","53","20","24","83","27","5","32","17","15","7","0","2","19","22","85","13","4","0","22","30"
"2015",137225,"UC Capitals","Capitals","away","Sydney Uni Flames","Flames",67,85,-18,"L","199:55","26","57","45","4","13","30","22","44","50","11","15","73","19","5","24","12","17","3","2","0","22","19","67","9","4","0","37","24"
"2015",137226,"Dandenong Rangers","Rangers","home","SEQ Stars","Stars",89,81,8,"W","199:57","36","68","52","4","9","44","32","59","54","13","19","68","27","9","36","19","16","4","4","1","12","19","89","11","6","2","23","48"
"2015",137226,"SEQ Stars","Stars","away","Dandenong Rangers","Rangers",81,89,-8,"L","199:58","32","74","43","7","18","38","25","56","44","10","14","71","23","7","30","11","12","11","1","4","19","12","81","10","8","2","7","40"
"2015",137227,"Adelaide Lightning","Lightning","home","Sydney Uni Flames","Flames",71,88,-17,"L","199:53","26","77","33","3","13","23","23","64","35","16","24","66","22","16","38","13","15","9","2","7","23","20","71","10","13","0","19","28"
"2015",137227,"Sydney Uni Flames","Flames","away","Adelaide Lightning","Lightning",88,71,17,"W","199:56","33","64","51","3","15","20","30","49","61","19","27","70","35","10","45","21","15","4","7","2","20","22","88","14","11","0","37","26"
"2015",137228,"Melbourne Boomers","Boomers","home","Perth Lynx","Lynx",68,78,-10,"L","199:56","22","57","38","6","13","46","16","44","36","18","19","94","20","9","29","13","17","2","3","4","16","16","68","9","9","0","0","20"
"2015",137228,"Perth Lynx","Lynx","away","Melbourne Boomers","Boomers",78,68,10,"W","199:57","31","73","42","7","24","29","24","49","48","9","9","100","22","12","34","16","11","7","4","3","16","16","78","16","9","2","14","30"
"2015",137229,"Bendigo Spirit","Spirit","home","Perth Lynx","Lynx",81,65,16,"W","199:51","31","66","46","10","26","38","21","40","52","9","13","69","29","11","40","16","18","5","3","3","20","15","81","10","15","8","12","42"
"2015",137229,"Perth Lynx","Lynx","away","Bendigo Spirit","Spirit",65,81,-16,"L","199:55","22","68","32","5","23","21","17","45","37","16","21","76","19","13","32","10","11","6","3","3","15","20","65","14","10","2","14","16"
"2015",137230,"Townsville Fire","Fire","home","UC Capitals","Capitals",104,60,44,"W","199:54","43","77","55","9","21","42","34","56","60","9","13","69","29","10","39","19","13","8","6","2","25","20","104","29","12","0","28","50"
"2015",137230,"UC Capitals","Capitals","away","Townsville Fire","Fire",60,104,-44,"L","199:53","16","56","28","6","16","37","10","40","25","22","28","78","12","6","18","14","19","1","2","6","20","25","60","9","5","0","26","10"
"2015",137231,"UC Capitals","Capitals","home","SEQ Stars","Stars",58,95,-37,"L","199:53","19","62","30","3","16","18","16","46","34","17","18","94","19","7","26","14","18","13","1","4","13","19","58","8","7","2","10","26"
"2015",137231,"SEQ Stars","Stars","away","UC Capitals","Capitals",95,58,37,"W","199:56","37","72","51","10","16","62","27","56","48","11","14","78","34","12","46","19","18","8","4","1","19","13","95","22","18","4","43","44"
"2015",137232,"Dandenong Rangers","Rangers","home","Bendigo Spirit","Spirit",89,57,32,"W","199:55","33","74","44","6","15","40","27","59","45","17","22","77","27","14","41","16","9","6","7","3","17","21","89","9","9","6","28","38"
"2015",137232,"Bendigo Spirit","Spirit","away","Dandenong Rangers","Rangers",57,89,-32,"L","199:56","18","67","26","0","13","0","18","54","33","21","25","84","21","12","33","13","16","7","3","7","21","17","57","4","2","8","10","26"
"2015",137233,"Bendigo Spirit","Spirit","home","UC Capitals","Capitals",77,66,11,"W","199:55","24","53","45","5","16","31","19","37","51","24","29","82","26","12","38","16","14","8","3","6","19","22","77","14","8","0","4","36"
"2015",137233,"UC Capitals","Capitals","away","Bendigo Spirit","Spirit",66,77,-11,"L","199:55","22","57","38","7","21","33","15","36","41","15","18","83","18","8","26","15","13","4","6","3","22","19","66","11","7","0","5","20"
"2015",137234,"Sydney Uni Flames","Flames","home","Melbourne Boomers","Boomers",93,86,7,"W","199:56","35","55","63","10","17","58","25","38","65","13","16","81","16","7","23","20","21","6","2","2","18","16","93","24","4","0","15","40"
"2015",137234,"Melbourne Boomers","Boomers","away","Sydney Uni Flames","Flames",86,93,-7,"L","199:55","32","62","51","6","15","40","26","47","55","16","20","80","14","13","27","19","19","8","2","2","16","18","86","18","7","0","9","40"
"2015",137235,"Townsville Fire","Fire","home","Adelaide Lightning","Lightning",104,41,63,"W","199:56","35","61","57","13","23","56","22","38","57","21","26","80","36","8","44","21","17","8","3","1","15","23","104","25","9","0","40","34"
