"season","page_id","team_name","team_short_name","home_away_flag","team_name_opp","team_short_name_opp","points_total","points_total_opp","points_margin","team_result","minutes","field_goals_made","field_goals_attempted","field_goals_percentage","three_pointers_made","three_pointers_attempted","three_pointers_percentage","two_pointers_made","two_pointers_attempted","two_pointers_percentage","free_throws_made","free_throws_attempted","free_throws_percentage","rebounds_defensive","rebounds_offensive","rebounds_total","assists","turnovers","steals","blocks","blocks_received","fouls_personal","fouls_on","points","points_from_turnovers","points_second_chance","points_fast_break","bench_points","points_in_the_paint","time_leading","biggest_lead","biggest_scoring_run","lead_changes","times_scores_level","rebounds_team","rebounds_team_defensive","rebounds_team_offensive","efficiency_custom","turnovers_team"
"2016",311810,"Sydney Uni Flames","Flames","home","Perth Lynx","Lynx",90,93,-3,"L","199:56","33","77","42","10","24","41","23","53","43","14","17","82","32","19","51","25","22","13","5","9","17","16","90","19","22","13","20","40","15.091666666667","8","12","15","7","0","4","6","0","0"
"2016",311810,"Perth Lynx","Lynx","away","Sydney Uni Flames","Flames",93,90,3,"W","199:55","34","81","41","15","28","53","19","53","35","10","15","66","27","18","45","22","19","11","9","5","16","17","93","17","15","6","33","34","21.210666666667","11","10","15","7","0","4","3","0","0"
"2016",311811,"UC Capitals","Capitals","home","Dandenong Rangers","Rangers",69,71,-2,"L","199:54","31","75","41","5","23","21","26","52","50","2","3","66","27","13","40","13","10","4","1","2","16","9","69","12","12","0","8","40","39.251833333333","17","7","3","2","0","0","0","0","0"
"2016",311811,"Dandenong Rangers","Rangers","away","UC Capitals","Capitals",71,69,2,"W","199:56","25","62","40","1","7","14","24","55","43","20","24","83","29","6","35","5","11","3","2","1","9","16","71","18","4","0","9","38","0.083166666666667","2","13","3","2","0","0","0","0","2"
"2016",311812,"Bendigo Spirit","Spirit","home","Adelaide Lightning","Lightning",77,63,14,"W","224:55","31","67","46","6","14","42","25","53","47","9","17","52","27","11","38","18","18","5","6","3","21","23","77","14","14","4","33","42","11.300333333333","14","10","13","10","0","0","0","0","0"
"2016",311812,"Adelaide Lightning","Lightning","away","Bendigo Spirit","Spirit",63,77,-14,"L","224:56","22","62","35","5","22","22","17","40","42","14","19","73","20","8","28","14","14","6","3","6","23","21","63","23","4","7","17","24","28.557666666667","14","14","13","10","0","0","0","0","0"
"2016",311813,"Townsville Fire","Fire","home","Perth Lynx","Lynx",84,62,22,"W","199:54","30","67","44","8","20","40","22","47","46","16","20","80","32","15","47","15","16","1","6","7","17","21","84","19","17","9","20","28","33.921166666667","26","9","7","3","0","2","6","0","0"
"2016",311813,"Perth Lynx","Lynx","away","Townsville Fire","Fire",62,84,-22,"L","199:55","25","74","33","5","18","27","20","56","35","7","10","70","22","17","39","3","16","5","7","6","21","17","62","12","13","5","13","30","4.5023333333333","5","6","7","3","0","2","2","0","0"
"2016",311814,"Melbourne Boomers","Boomers","home","Adelaide Lightning","Lightning",75,69,6,"W","199:57","28","73","38","6","26","23","22","47","46","13","17","76","24","18","42","16","7","9","5","1","14","16","75","18","7","6","18","28","36.575666666667","12","7","3","2","0","5","3","0","1"
"2016",311814,"Adelaide Lightning","Lightning","away","Melbourne Boomers","Boomers",69,75,-6,"L","199:56","25","69","36","5","20","25","20","49","40","14","15","93","29","19","48","14","15","3","1","4","16","14","69","5","17","4","18","24","1.8345","4","9","3","2","0","3","4","0","0"
"2016",311815,"UC Capitals","Capitals","home","Adelaide Lightning","Lightning",70,64,6,"W","199:57","30","80","37","5","14","35","25","66","37","5","7","71","32","14","46","9","8","5","5","4","18","13","70","8","17","0","8","34","39.625","13","10","0","0","0","0","0","0","0"
"2016",311815,"Adelaide Lightning","Lightning","away","UC Capitals","Capitals",64,70,-6,"L","199:56","23","73","31","3","13","23","20","60","33","15","21","71","28","17","45","8","12","4","4","5","13","18","64","5","12","2","18","34","0",,"8","0","0","0","0","0","0","1"
"2016",311816,"Bendigo Spirit","Spirit","home","Dandenong Rangers","Rangers",59,44,15,"W","201:40","24","53","45","2","9","22","22","44","50","9","12","75","28","12","40","8","19","4","3","1","17","12","59","7","12","0","16","34","38.833166666667","23","11","0","0","0","0","0","0","2"
"2016",311816,"Dandenong Rangers","Rangers","away","Bendigo Spirit","Spirit",44,59,-15,"L","199:55","18","68","26","1","8","12","17","60","28","7","14","50","14","11","25","6","11","1","1","3","14","11","44","9","4","0","17","16","0",,"5","0","0","0","0","0","0","1"
"2016",311817,"Melbourne Boomers","Boomers","home","Perth Lynx","Lynx",85,88,-3,"L","199:55","32","71","45","6","15","40","26","56","46","15","15","100","18","18","36","24","14","9","1","2","18","20","85","13","10","6","20","34","18.602833333333","8","8","8","4","0","1","3","0","1"
