"season","page_id","team_name","team_short_name","home_away_flag","team_name_opp","team_short_name_opp","points_total","points_total_opp","points_margin","team_result","minutes","field_goals_made","field_goals_attempted","field_goals_percentage","three_pointers_made","three_pointers_attempted","three_pointers_percentage","two_pointers_made","two_pointers_attempted","two_pointers_percentage","free_throws_made","free_throws_attempted","free_throws_percentage","rebounds_defensive","rebounds_offensive","rebounds_total","assists","turnovers","steals","blocks","blocks_received","fouls_personal","fouls_on","points","points_from_turnovers","points_second_chance","points_fast_break","bench_points","points_in_the_paint","time_leading","biggest_scoring_run","lead_changes","times_scores_level","rebounds_team","rebounds_team_defensive","rebounds_team_offensive","turnovers_team","biggest_lead"
"2017",681904,"Dandenong Rangers","Rangers","home","Melbourne Boomers","Boomers",61,76,-15,"L","199:56","19","60","31","4","14","28","15","46","32","19","21","90","30","8","38","10","17","4","4","2","15","15","61","3","7","2","4","16","0","6","1","1","1","0","1","1",
"2017",681904,"Melbourne Boomers","Boomers","away","Dandenong Rangers","Rangers",76,61,15,"W","199:55","29","72","40","6","19","31","23","53","43","12","14","85","35","12","47","16","12","7","2","4","18","15","76","15","15","0","22","22","39.447","15","1","1","2","0","2","0","19"
"2017",681905,"Melbourne Boomers","Boomers","home","Townsville Fire","Fire",54,63,-9,"L","199:54","21","67","31","3","15","20","18","52","34","9","12","75","34","15","49","12","15","10","3","2","13","15","54","11","11","11","12","26","13.300666666667","8","13","5","7","6","1","0","6"
"2017",681905,"Townsville Fire","Fire","away","Melbourne Boomers","Boomers",63,54,9,"W","199:57","25","68","36","8","21","38","17","47","36","5","8","62","31","9","40","16","13","8","2","3","15","13","63","22","6","2","21","20","23.727833333333","8","13","5","4","3","1","0","12"
"2017",681907,"UC Capitals","Capitals","home","Adelaide Lightning","Lightning",84,77,7,"W","199:56","28","64","43","10","21","47","18","43","41","18","22","81","29","11","40","21","10","6","4","7","17","18","84","7","7","10","37","16","35.739333333333","7","9","4","8","1","7","1","16"
"2017",681907,"Adelaide Lightning","Lightning","away","UC Capitals","Capitals",77,84,-7,"L","199:55","30","66","45","4","14","28","26","52","50","13","16","81","27","10","37","19","11","6","7","4","18","17","77","9","12","6","18","20","2.8668333333333","11","9","4","3","0","3","0","3"
"2017",681908,"Adelaide Lightning","Lightning","home","Perth Lynx","Lynx",89,81,8,"W","199:55","33","65","50","10","22","45","23","43","53","13","18","72","32","11","43","24","20","9","8","1","11","17","89","22","9","11","18","28","15.686833333333","8","17","9","2","1","1","0","10"
"2017",681908,"Perth Lynx","Lynx","away","Adelaide Lightning","Lightning",81,89,-8,"L","199:57","32","77","41","13","26","50","19","51","37","4","5","80","23","13","36","18","17","14","1","8","16","11","81","25","10","11","17","22","16.369333333333","11","17","9","5","2","3","0","10"
"2017",681910,"Melbourne Boomers","Boomers","home","Bendigo Spirit","Spirit",90,63,27,"W","199:55","33","67","49","2","10","20","31","57","54","22","26","84","29","16","45","18","19","12","8","0","15","25","90","28","11","16","30","56","39.433166666667","13","1","1","2","2","0","1","38"
"2017",681910,"Bendigo Spirit","Spirit","away","Melbourne Boomers","Boomers",63,90,-27,"L","199:55","25","62","40","3","13","23","22","49","44","10","17","58","19","11","30","12","23","12","0","5","25","15","63","15","0","2","25","40","0","9","1","1","2","1","1","2",
