"season","page_id","team_name","team_short_name","home_away_flag","team_name_opp","team_short_name_opp","points_total","points_total_opp","points_margin","team_result","minutes","field_goals_made","field_goals_attempted","field_goals_percentage","three_pointers_made","three_pointers_attempted","three_pointers_percentage","two_pointers_made","two_pointers_attempted","two_pointers_percentage","free_throws_made","free_throws_attempted","free_throws_percentage","rebounds_defensive","rebounds_offensive","rebounds_total","assists","turnovers","steals","blocks","blocks_received","fouls_personal","fouls_on","fouls_total","points","points_from_turnovers","points_second_chance","points_fast_break","bench_points","points_in_the_paint","time_leading","biggest_lead","biggest_scoring_run","lead_changes","times_scores_level","fouls_team","rebounds_team","rebounds_team_defensive","rebounds_team_offensive","turnovers_team"
"2019",1330477,"Bendigo Spirit","Spirit","home","Melbourne Boomers","Boomers",72,87,-15,"L","200:00","29","68","42","7","24","29","22","44","50","7","14","50","30","13","43","21","14","3","0","5","10","15","10","72","5","2","2","32","38","0.55","1","7","6","2","0","7","5","2","1"
"2019",1330477,"Melbourne Boomers","Boomers","away","Bendigo Spirit","Spirit",87,72,15,"W","200:00","33","75","44","12","30","40","21","45","46","9","10","90","30","12","42","24","8","9","5","0","15","10","15","87","22","15","12","17","34","38.466666666667","23","12","6","2","0","3","3","0","0"
"2019",1330478,"Southside Flyers","Flyers","home","Townsville Fire","Fire",81,72,9,"W","200:00","33","60","55","5","15","33","28","45","62","10","12","83","29","5","34","17","16","12","5","0","10","12","10","81","16","4","8","5","48","37.233333333333","13","9","3","3","0","2","1","1","1"
"2019",1330478,"Townsville Fire","Fire","away","Southside Flyers","Flyers",72,81,-9,"L","200:00","26","63","41","6","20","30","20","43","46","14","15","93","22","9","31","13","15","5","0","5","12","10","12","72","15","12","3","7","30","0.6","2","7","3","3","0","2","1","1","0"
"2019",1330479,"Perth Lynx","Lynx","home","Sydney Uni Flames","Flames",79,62,17,"W","200:00","32","79","40","9","30","30","23","49","46","6","8","75","36","13","49","18","7","7","4","3","15","10","15","79","13","10","8","16","40","37.9","25","10","6","1","0","8","7","1","0"
"2019",1330479,"Sydney Uni Flames","Flames","away","Perth Lynx","Lynx",62,79,-17,"L","200:00","24","67","35","4","16","25","20","51","39","10","12","83","36","8","44","14","11","3","3","4","10","15","10","62","10","6","7","11","30","1.0333333333333","2","9","6","1","0","11","9","2","0"
"2019",1330480,"UC Capitals","Capitals","home","Adelaide Lightning","Lightning",90,83,7,"W","200:00","31","77","40","10","24","41","21","53","39","18","26","69","37","19","56","17","13","4","6","4","14","19","14","90","7","23","4","6","38","17.9","12","15","11","9","0","8","5","3","2"
"2019",1330480,"Adelaide Lightning","Lightning","away","UC Capitals","Capitals",83,90,-7,"L","200:00","33","79","41","7","29","24","26","50","52","10","12","83","28","10","38","22","8","7","4","6","19","14","19","83","11","12","2","4","40","18.75","12","9","11","9","0","6","4","2","1"
"2019",1330481,"Southside Flyers","Flyers","home","Perth Lynx","Lynx",97,93,4,"W","225:00","38","85","44","9","23","39","29","62","46","12","18","66","29","19","48","24","11","10","5","6","8","14","8","97","21","20","21","22","42","29.99","8","6","23","12","0","4","1","3","1"
"2019",1330481,"Perth Lynx","Lynx","away","Southside Flyers","Flyers",93,97,-4,"L","225:00","39","88","44","9","25","36","30","63","47","6","9","66","30","19","49","17","13","5","6","5","14","8","14","93","14","4","13","8","48","7.6766666666667","4","9","23","12","0","7","5","2","0"
"2019",1330482,"Townsville Fire","Fire","home","Adelaide Lightning","Lightning",68,86,-18,"L","200:00","24","66","36","8","25","32","16","41","39","12","15","80","24","10","34","12","13","7","1","5","21","18","21","68","10","16","1","17","24","0",,"8","2","2","0","2","2","0","0"
"2019",1330482,"Adelaide Lightning","Lightning","away","Townsville Fire","Fire",86,68,18,"W","200:00","30","57","52","11","23","47","19","34","55","15","22","68","34","7","41","18","15","7","5","1","18","20","18","86","8","4","8","13","30","38.133333333333","26","14","2","2","0","5","2","3","0"
"2019",1330484,"Melbourne Boomers","Boomers","home","Bendigo Spirit","Spirit",74,70,4,"W","200:00","28","61","45","6","22","27","22","39","56","12","17","70","26","9","35","24","10","5","4","0","9","14","9","74","13","12","0","10","34","27.233333333333","10","7","12","6","0","3","1","2","0"
"2019",1330484,"Bendigo Spirit","Spirit","away","Melbourne Boomers","Boomers",70,74,-4,"L","200:00","27","69","39","9","21","42","18","48","37","7","9","77","25","17","42","16","13","7","0","4","14","9","14","70","12","12","6","13","26","8.9333333333333","4","8","12","6","0","7","4","3","2"
"2019",1330485,"UC Capitals","Capitals","home","Townsville Fire","Fire",67,65,2,"W","200:00","24","60","40","3","15","20","21","45","46","16","23","69","27","11","38","13","15","11","4","2","18","21","18","67","16","11","8","7","34","17.283333333333","6","7","18","10","0","7","2","5","0"
"2019",1330485,"Townsville Fire","Fire","away","UC Capitals","Capitals",65,67,-2,"L","200:00","23","66","34","9","31","29","14","35","40","10","12","83","28","16","44","16","18","11","2","4","21","18","21","65","8","10","5","16","24","18.041666666667","7","5","18","10","0","4","0","4","1"
"2019",1330486,"Bendigo Spirit","Spirit","home","Perth Lynx","Lynx",91,79,12,"W","200:00","33","76","43","12","26","46","21","50","42","13","20","65","26","20","46","21","7","5","1","2","17","20","17","91","14","25","3","20","38","11.676666666667","13","7","8","4","0","10","5","5","1"
"2019",1330486,"Perth Lynx","Lynx","away","Bendigo Spirit","Spirit",79,91,-12,"L","200:00","29","62","46","7","21","33","22","41","53","14","18","77","25","10","35","22","11","2","2","1","20","17","20","79","4","17","6","21","34","26.123333333333","11","7","8","4","0","3","3","0","0"
"2019",1330487,"Melbourne Boomers","Boomers","home","UC Capitals","Capitals",107,72,35,"W","200:00","42","66","63","9","21","42","33","45","73","14","18","77","40","7","47","26","19","8","5","0","29","19","29","107","21","5","15","31","50","39.383333333333","35","9","1","1","0","1","0","1","1"
"2019",1330487,"UC Capitals","Capitals","away","Melbourne Boomers","Boomers",72,107,-35,"L","200:00","25","70","35","5","17","29","20","53","37","17","30","56","19","9","28","10","12","11","0","5","19","29","19","72","23","8","5","18","32","0",,"5","1","1","0","1","1","0","0"
"2019",1330488,"Southside Flyers","Flyers","home","Bendigo Spirit","Spirit",85,77,8,"W","200:00","35","75","46","10","23","43","25","52","48","5","6","83","24","10","34","24","11","10","2","0","9","13","9","85","16","11","9","9","38","36.2","22","15","12","1","0","3","3","0","0"
"2019",1330488,"Bendigo Spirit","Spirit","away","Southside Flyers","Flyers",77,85,-8,"L","200:00","29","59","49","6","14","42","23","45","51","13","13","100","30","6","36","15","19","3","0","2","13","9","13","77","15","7","12","26","40","1.6166666666667","2","8","12","1","0","3","2","1","0"
"2019",1330490,"Sydney Uni Flames","Flames","home","UC Capitals","Capitals",81,75,6,"W","200:00","27","59","45","9","20","45","18","39","46","18","25","72","32","8","40","14","20","7","6","2","21","23","21","81","19","6","20","4","32","39.783333333333","21","7","0","0","0","6","3","3","0"
"2019",1330490,"UC Capitals","Capitals","away","Sydney Uni Flames","Flames",75,81,-6,"L","200:00","26","78","33","3","22","13","23","56","41","20","25","80","24","22","46","16","15","10","2","6","23","21","24","75","13","17","12","9","36","0",,"7","0","0","1","8","5","3","0"
"2019",1330492,"Bendigo Spirit","Spirit","home","Adelaide Lightning","Lightning",67,54,13,"W","200:00","26","64","40","8","22","36","18","42","42","7","10","70","30","12","42","14","16","10","2","3","19","14","19","67","13","9","0","37","30","30.465","15","8","10","7","0","7","3","4","2"
"2019",1330492,"Adelaide Lightning","Lightning","away","Bendigo Spirit","Spirit",54,67,-13,"L","200:00","20","60","33","1","16","6","19","44","43","13","20","65","27","12","39","12","17","9","3","2","14","19","14","54","8","11","6","0","36","5.7733333333333","4","6","10","7","0","1","1","0","0"
"2019",1330493,"UC Capitals","Capitals","home","Sydney Uni Flames","Flames",91,66,25,"W","200:00","37","77","48","6","19","31","31","58","53","11","15","73","28","18","46","26","12","14","4","6","13","15","13","91","25","21","6","21","52","27.65","29","11","5","3","0","11","4","7","0"
"2019",1330493,"Sydney Uni Flames","Flames","away","UC Capitals","Capitals",66,91,-25,"L","200:00","24","65","36","7","19","36","17","46","36","11","12","91","23","13","36","16","20","3","6","4","15","13","15","66","8","6","0","22","28","9.6","8","9","5","3","0","6","2","4","1"
"2019",1330494,"Perth Lynx","Lynx","home","Townsville Fire","Fire",88,93,-5,"L","225:00","31","74","41","13","33","39","18","41","43","13","18","72","21","11","32","21","11","12","2","1","24","17","24","88","25","16","6","32","30","41.155","15","11","7","4","0","4","1","3","0"
"2019",1330494,"Townsville Fire","Fire","away","Perth Lynx","Lynx",93,88,5,"W","225:00","31","66","46","14","29","48","17","37","45","17","24","70","34","14","48","24","21","6","1","2","17","24","17","93","14","17","2","10","28","2.5366666666667","5","11","7","4","0","8","7","1","0"
"2019",1330495,"Southside Flyers","Flyers","home","Bendigo Spirit","Spirit",93,80,13,"W","200:00","34","68","50","11","24","45","23","44","52","14","18","77","30","8","38","23","11","9","6","4","11","16","11","93","14","9","13","9","42","35.041666666667","16","8","7","2","0","5","2","3","0"
"2019",1330495,"Bendigo Spirit","Spirit","away","Southside Flyers","Flyers",80,93,-13,"L","200:00","32","69","46","5","17","29","27","52","51","11","13","84","28","8","36","17","11","7","4","6","16","11","16","80","9","5","4","30","46","2.275","3","6","7","2","0","5","1","4","0"
